#keggName_to_taxonName	Bacteroidaceae bacterium HV4-6-C5C	Prevotella paludivivens	Acetobacter aceti	Pseudoclavibacter soli	Lactobacillus fuchuensis	Lactobacillus sakei	Clostridium kluyveri	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. W14A	uncultured Clostridiales bacterium	Faecalicatena fissicatena	Hespellia stercorisuis	Oscillibacter sp. CAG:155	Oscillibacter ruminantium	Oscillibacter valericigenes	Oscillibacter sp. 1-3	Oscillibacter sp. 57_20	Oscillibacter sp. PC13	Desulfitobacterium hafniense	Caproiciproducens galactitolivorans	Caproiciproducens sp. NJN-50	Marasmitruncus massiliensis	Papillibacter cinnamivorans	Pseudoflavonifractor capillosus	Pseudoflavonifractor sp. Marseille-P3106	Pygmaiobacter massiliensis	Sporobacter termitidis	Ruminococcaceae bacterium HV4-5-B5C	Intestinimonas butyriciproducens	Clostridiales bacterium	Firmicutes bacterium CAG:129	Firmicutes bacterium HGW-Firmicutes-16	Methanobacterium paludis
K00065 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00067 dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	95
K00074 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	133	0	0	0	0	0	4	0	0	0	0	0	0	0	10	0	0	0	0
K00075 UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	0	0	0	0	0	27	143	0	0	0	0	0	0	0	0	43	0	0	0	0	0	4	0	0	0	0	0	0	0	8	0	0	0	0
K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169]	0	0	0	0	0	21	83	0	0	0	0	0	0	0	0	21	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
K00086 1,3-propanediol dehydrogenase [EC:1.1.1.202]	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00087 xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
K00088 IMP dehydrogenase [EC:1.1.1.205]	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	18
K00091 dihydroflavonol-4-reductase [EC:1.1.1.219]	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00096 glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
K00099 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	0	0	2	0	0	0	122	0	0	0	0	0	0	0	0	22	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
K00104 glycolate oxidase [EC:1.1.3.15]	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	52	0	0	0	0
K00111 glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0
K00116 malate dehydrogenase (quinone) [EC:1.1.5.4]	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
K00132 acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00133 aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	32
K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	0	0	0	2	0	0	67	0	0	0	0	0	0	0	0	37	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K00145 N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	8	0	0	0	36
K00147 glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	156	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
K00150 glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
K00158 pyruvate oxidase [EC:1.2.3.3]	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
K00161 pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00162 pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00169 pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61
K00170 pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
K00171 pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00172 pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
K00174 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K00175 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1
K00176 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
K00177 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	35
K00179 indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
K00180 indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
K00183 prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00186 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
K00187 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
K00188 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
K00192 anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
K00196 anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	40
K00198 anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00200 formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145
K00201 formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
K00202 formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106
K00203 formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
K00204 4Fe-4S ferredoxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64
K00205 4Fe-4S ferredoxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104
K00208 enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00215 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	58	0	0	0	0	0	18	0	0	0	0	0	0	0	4	0	0	0	26
K00219 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00220 cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00226 dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00230 menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K00241 succinate dehydrogenase / fumarate reductase, cytochrome b subunit	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00242 succinate dehydrogenase / fumarate reductase, membrane anchor subunit	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00243 uncharacterized protein	0	0	0	0	0	7	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00248 butyryl-CoA dehydrogenase [EC:1.3.8.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00254 dihydroorotate dehydrogenase [EC:1.3.5.2]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00259 alanine dehydrogenase [EC:1.4.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0
K00261 glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
K00262 glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00265 glutamate synthase (NADPH) large chain [EC:1.4.1.13]	0	0	8	0	0	0	320	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
K00266 glutamate synthase (NADPH) small chain [EC:1.4.1.13]	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
K00275 pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00278 L-aspartate oxidase [EC:1.4.3.16]	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00281 glycine dehydrogenase [EC:1.4.4.2]	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00282 glycine dehydrogenase subunit 1 [EC:1.4.4.2]	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	47	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0	0	0
K00283 glycine dehydrogenase subunit 2 [EC:1.4.4.2]	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	48	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
K00285 D-amino-acid dehydrogenase [EC:1.4.5.1]	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00286 pyrroline-5-carboxylate reductase [EC:1.5.1.2]	0	0	0	0	0	15	41	0	0	0	0	0	0	0	0	89	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	16
K00287 dihydrofolate reductase [EC:1.5.1.3]	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00290 saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
K00294 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00297 methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0
K00313 electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00319 methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
K00334 NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00335 NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00336 NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
K00337 NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00341 NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00343 NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00344 NADPH:quinone reductase [EC:1.6.5.5]	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00362 nitrite reductase (NADH) large subunit [EC:1.7.1.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00375 GntR family transcriptional regulator / MocR family aminotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0
K00381 sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4]	0	0	0	4	0	3	93	0	0	0	0	0	0	0	0	165	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	36
K00383 glutathione reductase (NADPH) [EC:1.8.1.7]	0	0	4	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00384 thioredoxin reductase (NADPH) [EC:1.8.1.9]	0	0	0	0	0	12	111	0	0	0	0	0	0	0	0	2181	0	0	0	0	0	15	0	0	0	0	0	0	0	12	0	0	0	27
K00390 phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
K00399 methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K00400 methyl coenzyme M reductase system, component A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71
K00401 methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
K00402 methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K00432 glutathione peroxidase [EC:1.11.1.9]	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K00433 non-heme chloroperoxidase [EC:1.11.1.10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
K00440 coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
