#keggName_to_taxonName	Bacteroides fragilis	Bacteroides intestinalis	Bacteroides reticulotermitis	Bacteroidaceae bacterium HV4-6-C5C	Prevotella oryzae	Prevotella paludivivens	Desulfovibrio legallii	Pseudoclavibacter soli	Lactobacillus curvatus	Lactobacillus fuchuensis	Lactobacillus sakei	Leuconostoc gelidum	Clostridium amylolyticum	Clostridium kluyveri	Clostridium sp. JN-9	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. PI-S10-A1B	Clostridium sp. W14A	uncultured Clostridiales bacterium	Oscillibacter ruminantium	Oscillibacter valericigenes	Oscillibacter sp. PC13	Caproiciproducens sp. NJN-50	Pseudoflavonifractor sp. Marseille-P3106	Ruminococcaceae bacterium HV4-5-B5C	Intestinimonas butyriciproducens	Clostridiales bacterium	Firmicutes bacterium CAG:83	Methanobacterium congolense	Methanobacterium paludis
K00015 glyoxylate reductase [EC:1.1.1.26]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K00016 L-lactate dehydrogenase [EC:1.1.1.27]	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	0	0	4	0	20	8	0	4	0	1	0	1	0	0	0
K00018 glycerate dehydrogenase [EC:1.1.1.29]	0	0	10	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	99	0	0	0
K00020 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	0	0	0	0	0	0	2	0	0	0	152	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00021 hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24
K00024 malate dehydrogenase [EC:1.1.1.37]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	90
K00027 malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	0	0	0	0	0	0	0	0	0	1	0	26	0	481	0	0	0	0	0	0	1	15	0	40	0	0	0	0	0	0	132
K00029 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00031 isocitrate dehydrogenase [EC:1.1.1.42]	0	0	0	0	0	0	0	12	0	0	0	0	0	2	0	0	0	0	3	0	0	51	0	4	0	6	12	162	4	0	0
K00033 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0	0	0	1	0	0	0	12	14	0	135	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	0	0	0	1	0	0	0	158	0	0	92	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00040 fructuronate reductase [EC:1.1.1.57]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0
K00041 tagaturonate reductase [EC:1.1.1.58]	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00042 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
K00046 gluconate 5-dehydrogenase [EC:1.1.1.69]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0
K00052 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	0	0	0	0	0	0	0	68	0	0	0	5	0	356	0	0	0	0	1	8	0	24	0	2	0	4	0	3	0	3	213
K00053 ketol-acid reductoisomerase [EC:1.1.1.86]	0	0	0	0	0	0	0	77	0	0	0	0	0	749	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	1	33
K00054 hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	0	0	0	0	0	0	0	0	16	0	190	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00057 glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	0	0	0	4	0	0	0	35	14	0	47	43	0	375	0	0	2	0	1	0	21	0	0	9	0	1	48	1	0	0	0
K00058 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	2	0	0	0	0	0	0	25	0	0	0	137	0	605	0	1	5	0	2	1	97	377	38	69	7	5	52	10	0	1	82
K00059 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0	0	0	0	1	0	0	13	32	0	307	16	0	27	1	0	8	0	4	0	27	73	0	16	0	4	18	24	6	0	0
K00065 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0
K00067 dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	0	0	0	57	0	8	0	0	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	18	0	0	0	0	0	0	280
K00074 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	0	0	0	0	0	0	0	0	0	0	0	0	0	955	0	0	3	0	0	0	21	147	0	5	0	0	57	81	0	0	0
K00075 UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	0	0	0	0	0	0	0	19	4	0	155	43	0	665	0	0	0	0	0	0	28	44	17	11	0	0	22	9	0	0	0
K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169]	1	0	0	18	0	17	0	0	9	0	162	29	0	379	0	0	1	0	0	0	121	29	1	7	0	0	0	0	0	0	0
K00086 1,3-propanediol dehydrogenase [EC:1.1.1.202]	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00087 xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	0	0	0	0	122	0	0	0	0
K00088 IMP dehydrogenase [EC:1.1.1.205]	0	0	0	0	0	0	14	191	0	4	0	32	0	260	15	0	0	0	0	0	7	13	14	1	0	9	20	57	0	1	66
K00091 dihydroflavonol-4-reductase [EC:1.1.1.219]	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
K00096 glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14
K00097 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00099 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	0	0	0	0	0	0	0	0	0	0	0	0	0	506	0	0	5	0	0	0	4	36	2	13	0	7	1	0	8	0	0
K00100 butanol dehydrogenase [EC:1.1.1.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00104 glycolate oxidase [EC:1.1.3.15]	0	0	0	0	0	0	0	82	0	0	0	0	1	166	1	77	0	0	18	0	0	0	0	88	13	0	237	0	0	0	0
K00105 alpha-glycerophosphate oxidase [EC:1.1.3.21]	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00111 glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	0	0	0	0	0	0	0	71	0	0	41	0	1	0	0	0	13	0	0	0	0	0	0	51	0	0	0	1	1	0	0
K00116 malate dehydrogenase (quinone) [EC:1.1.5.4]	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0	0	0	0	0	0	0	0	0	0	0	76	0	467	1	0	0	0	0	0	0	0	0	9	0	0	0	36	0	0	0
K00131 glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00133 aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	0	0	0	0	0	0	4	0	0	0	0	28	0	230	6	0	0	0	0	0	12	6	0	4	0	4	8	1	0	0	79
K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	0	0	0	0	0	0	0	121	0	0	2	26	0	381	11	0	1	0	0	0	0	31	1	0	2	17	0	134	47	0	0
K00135 succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	0	0	0	0	0	0	2	118	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00138 aldehyde dehydrogenase [EC:1.2.1.-]	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00145 N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	0	0	0	0	0	0	0	39	0	0	0	43	0	353	0	0	2	0	2	0	1	0	5	10	3	18	50	47	0	12	74
K00147 glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	4	0	0	166	0	0	0	0	0	0	0	45	0	480	0	0	2	0	4	0	32	77	1	4	0	4	0	0	0	0	0
K00150 glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94
K00156 pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00158 pyruvate oxidase [EC:1.2.3.3]	0	0	0	0	0	0	0	0	4	3	177	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	37
K00161 pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	0	0	0	0	0	0	0	137	0	0	34	26	0	0	0	0	0	0	0	0	5	174	0	0	0	0	0	0	0	0	0
K00162 pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	0	0	0	0	0	0	0	106	0	0	0	1	0	0	0	0	0	0	0	0	1	155	0	0	0	0	0	0	0	0	0
K00163 pyruvate dehydrogenase E1 component [EC:1.2.4.1]	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00164 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00169 pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	1	0	0	0	0	0	36	0	0	0	0	0	0	0	11	139
K00170 pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	47
K00171 pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
K00172 pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	15
K00174 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	5	0	0	24	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	34	58	4	0	0	0	0	7	0	11	5
K00175 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	2	0	0	0	25	0	1	3
K00176 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	0	0	0	33	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
K00177 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	31	0	1	0	0	0	2	0	0	104
K00179 indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	17	0	0	5	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	96
K00180 indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13
K00184 prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00186 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	26
K00187 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
K00188 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
K00192 anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	32
K00196 anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	59
K00198 anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	122	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00200 formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392
K00201 formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77
K00202 formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	259
K00203 formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63
K00204 4Fe-4S ferredoxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158
K00205 4Fe-4S ferredoxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	285
K00208 enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	0	0	0	0	0	0	14	0	13	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00215 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	0	4	0	25	0	0	0	0	0	0	0	24	0	895	0	18	4	0	0	2	17	62	0	15	0	0	19	0	0	11	28
K00219 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	0	0	0	0	0	0	0	0	0	0	0	0	0	1617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00226 dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	0	0	0	8	0	0	0	0	22	0	161	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00230 menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
K00231 protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00239 succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00240 succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00242 succinate dehydrogenase / fumarate reductase, membrane anchor subunit	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00243 uncharacterized protein	0	0	0	67	0	0	0	0	7	0	46	6	0	556	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00245 fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00246 fumarate reductase subunit C	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00248 butyryl-CoA dehydrogenase [EC:1.3.8.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	23	13	2	1	0	0	0	0	107	0	1	0	0	0	24	0	0	0
K00249 acyl-CoA dehydrogenase [EC:1.3.8.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K00252 glutaryl-CoA dehydrogenase [EC:1.3.8.6]	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00254 dihydroorotate dehydrogenase [EC:1.3.5.2]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00259 alanine dehydrogenase [EC:1.4.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
K00261 glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
K00262 glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	2	1	0	0	0	0	25	0	0	0	3	0	0	0	0	0
K00265 glutamate synthase (NADPH) large chain [EC:1.4.1.13]	2	0	0	70	0	0	0	159	0	0	0	0	0	1422	0	0	0	0	0	6	0	188	65	0	0	0	4	157	0	0	0
K00266 glutamate synthase (NADPH) small chain [EC:1.4.1.13]	9	0	0	28	0	0	1	35	0	0	0	0	0	560	0	0	4	0	0	11	1	127	7	5	1	8	53	58	1	0	0
K00275 pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00278 L-aspartate oxidase [EC:1.4.3.16]	0	0	0	0	0	0	7	2	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
K00281 glycine dehydrogenase [EC:1.4.4.2]	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00282 glycine dehydrogenase subunit 1 [EC:1.4.4.2]	0	0	0	0	0	0	13	0	0	0	0	0	2	610	0	0	0	0	3	0	11	44	0	21	0	0	22	8	2	0	0
K00283 glycine dehydrogenase subunit 2 [EC:1.4.4.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	737	0	0	0	0	5	0	34	23	0	16	0	0	28	11	1	0	0
K00284 glutamate synthase (ferredoxin) [EC:1.4.7.1]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00286 pyrroline-5-carboxylate reductase [EC:1.5.1.2]	1	0	0	9	0	0	0	0	0	1	93	31	0	277	0	0	0	0	1	0	3	30	12	15	0	0	13	0	0	24	34
K00287 dihydrofolate reductase [EC:1.5.1.3]	0	0	0	2	0	0	0	1	4	0	97	22	0	43	0	0	0	0	0	0	0	10	0	0	1	0	3	0	0	0	0
K00290 saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	22	0	2	0	0	0	0	0	0	0
K00294 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
K00297 methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	0	0	0	38	0	1	0	0	0	0	0	58	0	325	0	0	5	0	0	1	0	0	0	11	0	0	46	5	0	0	0
K00301 sarcosine oxidase [EC:1.5.3.1]	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00311 electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00313 electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00319 methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144
K00330 NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00334 NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
K00335 NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	71	0	0	0	0	0	1	0	0	0
K00336 NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	180	0	13	5	0	0	0	0	0	0
K00337 NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	1	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00338 NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00339 NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00341 NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00342 NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	0	0	10	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00343 NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	10	0	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
