#keggName_to_taxonName	Bacteroides fragilis	Bacteroides graminisolvens	Bacteroides ihuae	Bacteroides luti	Bacteroides pyogenes	Bacteroides reticulotermitis	Bacteroides sp. KCTC 15687	Bacteroidaceae bacterium HV4-6-C5C	Prevotella oryzae	Prevotella paludivivens	Desulfovibrio legallii	Pseudoclavibacter soli	Lactobacillus paracasei	Lactobacillus fuchuensis	Lactobacillus sakei	Leuconostoc gelidum	Clostridium amylolyticum	Clostridium kluyveri	Clostridium luticellarii	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. W14A	uncultured Clostridiales bacterium	Anaerotignum propionicum	Oscillibacter ruminantium	Oscillibacter valericigenes	Caproiciproducens galactitolivorans	Caproiciproducens sp. NJN-50	Pseudoflavonifractor sp. Marseille-P3106	Ruminococcaceae bacterium D5	Ruminococcaceae bacterium HV4-5-B5C	Intestinimonas butyriciproducens	Intestinimonas timonensis	Clostridiales bacterium	Methanobacterium paludis
K00150 glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
K00158 pyruvate oxidase [EC:1.2.3.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K00161 pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
K00162 pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
K00167 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00169 pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	22	0	10	0	0	0	0	0	0	0	0	32
K00170 pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	14
K00171 pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0
K00172 pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	5
K00174 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	11	0	6	0	0	0	0	0	0	0	0	3
K00175 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
K00176 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9
K00177 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	26
K00179 indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	62	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	25
K00180 indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	14
K00184 prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00186 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
K00187 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
K00188 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
K00192 anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
K00196 anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
K00198 anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00200 formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169
K00201 formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
K00202 formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
K00203 formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
K00204 4Fe-4S ferredoxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
K00205 4Fe-4S ferredoxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
K00208 enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	0	0	0	0	0	0	0	0	0	0	12	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00215 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	241	0	1	0	0	0	22	0	8	0	3	0	0	0	36	0	0	8
K00219 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0
K00226 dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	0	0	0	0	0	0	0	2	0	0	0	0	14	0	47	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00239 succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00243 uncharacterized protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00245 fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00246 fumarate reductase subunit C	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00248 butyryl-CoA dehydrogenase [EC:1.3.8.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
K00259 alanine dehydrogenase [EC:1.4.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
K00261 glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K00262 glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
K00265 glutamate synthase (NADPH) large chain [EC:1.4.1.13]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0	0	0	0	0	18	0	39	0	0	0	0	0	0	0	0	0
K00266 glutamate synthase (NADPH) small chain [EC:1.4.1.13]	1	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	152	0	0	0	0	0	14	0	22	0	3	0	0	0	58	0	0	0
K00278 L-aspartate oxidase [EC:1.4.3.16]	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	304	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0
K00281 glycine dehydrogenase [EC:1.4.4.2]	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00282 glycine dehydrogenase subunit 1 [EC:1.4.4.2]	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	155	0	0	0	0	0	0	0	2	0	4	0	0	0	20	0	0	0
K00283 glycine dehydrogenase subunit 2 [EC:1.4.4.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	37	0	2	0	6	0	0	0	9	0	0	0
K00286 pyrroline-5-carboxylate reductase [EC:1.5.1.2]	0	0	0	0	0	0	0	2	0	0	0	0	4	0	34	21	0	65	0	0	0	0	0	9	0	8	0	2	0	0	0	32	0	0	3
K00287 dihydrofolate reductase [EC:1.5.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	5	0	28	14	0	6	0	0	0	0	0	14	0	0	0	0	0	0	0	3	0	0	0
K00290 saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
K00294 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
K00297 methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	69	0	0	0	0	0	0	0	0	0	4	0	0	0	60	0	0	0
K00319 methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
K00334 NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
K00335 NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
K00336 NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	4	0	0	0	0	0	0	0
K00343 NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00344 NADPH:quinone reductase [EC:1.6.5.5]	0	0	0	0	0	0	0	0	0	0	0	0	21	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00347 Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00362 nitrite reductase (NADH) large subunit [EC:1.7.1.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
K00374 nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00375 GntR family transcriptional regulator / MocR family aminotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	1	0	0	0	33	0	0	0
K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	126	0	0	0	0	0	138	0	12	0	1	0	0	0	11	0	0	34
K00383 glutathione reductase (NADPH) [EC:1.8.1.7]	0	0	0	0	0	0	0	0	0	0	0	0	2	0	47	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00384 thioredoxin reductase (NADPH) [EC:1.8.1.9]	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	36	0	265	0	0	0	0	0	9	0	53	0	2	0	0	0	67	0	0	33
K00390 phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
K00399 methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K00400 methyl coenzyme M reductase system, component A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
K00401 methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K00425 cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00426 cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00432 glutathione peroxidase [EC:1.11.1.9]	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
K00433 non-heme chloroperoxidase [EC:1.11.1.10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
K00440 coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
K00441 coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
