#keggName_to_taxonName	Bacteroides fragilis	Bacteroides graminisolvens	Bacteroides ihuae	Bacteroides intestinalis	Bacteroides luti	Bacteroides reticulotermitis	Bacteroidaceae bacterium HV4-6-C5C	Dysgonomonas sp. BGC7	Prevotella oryzae	Prevotella paludivivens	Desulfovibrio legallii	Desulfovibrio sp. AM18-2	Actinomyces provencensis	Pseudoclavibacter soli	Lactobacillus paracasei	Lactobacillus fuchuensis	Lactobacillus sakei	Leuconostoc gelidum	Clostridium amylolyticum	Clostridium carboxidivorans	Clostridium drakei	Clostridium kluyveri	Clostridium luticellarii	Clostridium scatologenes	Clostridium tyrobutyricum	Clostridium sp. JN-9	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. W14A	Oscillibacter ruminantium	Oscillibacter valericigenes	Desulfitobacterium metallireducens	Caproiciproducens galactitolivorans	Caproiciproducens sp. NJN-50	Ruminococcaceae bacterium HV4-5-B5C	Clostridiales bacterium
K00015 glyoxylate reductase [EC:1.1.1.26]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
K00016 L-lactate dehydrogenase [EC:1.1.1.27]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
K00018 glycerate dehydrogenase [EC:1.1.1.29]	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
K00020 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	229	21	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
K00027 malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	4	886	0	0	0	0	0	0	0	0	1	9	0	15	0	0
K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00031 isocitrate dehydrogenase [EC:1.1.1.42]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0
K00033 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	255	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00040 fructuronate reductase [EC:1.1.1.57]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
K00041 tagaturonate reductase [EC:1.1.1.58]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
K00046 gluconate 5-dehydrogenase [EC:1.1.1.69]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
K00052 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	2	600	0	0	0	0	0	0	0	0	1	7	0	3	0	0
K00053 ketol-acid reductoisomerase [EC:1.1.1.86]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1330	0	0	0	0	0	0	0	0	0	9	0	0	0	0
K00054 hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00055 aryl-alcohol dehydrogenase [EC:1.1.1.90]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00057 glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	109	20	0	0	0	836	0	0	4	0	0	0	0	0	5	30	0	2	0	0
K00058 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	16	7	1374	1	0	0	0	0	0	0	0	10	0	0	32	0	0
K00059 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	564	23	0	0	3	0	0	0	0	0	0	0	0	0	7	11	0	12	0	0
K00065 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
K00067 dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	27	0	0	0	0	6	0	0	0	0	0	0	0	0	11	0	0
K00068 sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00074 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	1989	0	25	0	0	0	0	0	0	25	20	0	1	0	0
K00075 UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	37	0	2	0	1584	0	3	7	0	0	0	0	0	3	7	0	10	0	0
K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169]	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	35	0	6	2	1068	0	0	0	0	0	0	0	0	3	0	0	4	0	0
K00086 1,3-propanediol dehydrogenase [EC:1.1.1.202]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00088 IMP dehydrogenase [EC:1.1.1.205]	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	3	4	26	0	0	0	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00091 dihydroflavonol-4-reductase [EC:1.1.1.219]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00099 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1158	0	0	24	0	0	0	0	0	1	4	0	7	0	0
K00100 butanol dehydrogenase [EC:1.1.1.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0
K00104 glycolate oxidase [EC:1.1.3.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	9	0	15	0	0
K00105 alpha-glycerophosphate oxidase [EC:1.1.3.21]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00111 glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	105	0	0	0	0	0	0	16	0	0	0	0	0	0	0	15	0	22	0	0
K00112 glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
K00123 formate dehydrogenase major subunit [EC:1.17.1.9]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
K00124 formate dehydrogenase iron-sulfur subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
K00127 formate dehydrogenase subunit gamma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	1393	0	0	0	0	0	0	0	0	0	10	0	14	0	0
K00132 acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
K00133 aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	0	0	0	0	0	0	0	0	0	0	22	0	0	0	7	0	0	35	0	0	0	474	0	2	0	0	0	0	0	0	3	1	0	1	0	0
K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	2	25	0	0	1	661	0	3	0	0	0	0	0	0	2	11	0	0	1	0
K00135 succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	4	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00145 N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	35	0	0	0	876	0	0	0	0	0	0	0	0	13	17	0	6	0	0
K00147 glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	42	0	1	2	1063	0	0	0	0	0	0	0	0	4	6	0	10	0	0
K00158 pyruvate oxidase [EC:1.2.3.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	357	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00161 pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	98	15	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
K00162 pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
K00169 pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0	4	0	0	0	0	0
K00170 pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	250	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K00171 pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K00172 pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00174 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	72	0	0	0	4	6	0	0	0	0
K00175 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
K00176 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
K00177 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
K00179 indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	22	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00180 indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00184 prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00194 acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
K00198 anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	167	0	0	0	0	0	0	0	0	0	8	0	0	0	0
K00208 enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00215 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	18	0	0	3	1851	0	0	0	0	0	0	0	0	1	5	0	6	0	0
K00219 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3037	0	0	0	0	0	0	0	0	0	45	0	0	0	0
K00226 dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	260	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00230 menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
K00241 succinate dehydrogenase / fumarate reductase, cytochrome b subunit	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00243 uncharacterized protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	2	0	2	0	1162	0	0	0	0	0	0	0	0	0	23	0	0	0	0
K00244 fumarate reductase flavoprotein subunit [EC:1.3.5.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0
K00245 fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00246 fumarate reductase subunit C	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00248 butyryl-CoA dehydrogenase [EC:1.3.8.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	9	0	0	0	0	0
K00259 alanine dehydrogenase [EC:1.4.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
K00261 glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
K00262 glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K00265 glutamate synthase (NADPH) large chain [EC:1.4.1.13]	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	1	3000	0	0	0	0	0	0	0	0	20	0	0	0	0	1
K00266 glutamate synthase (NADPH) small chain [EC:1.4.1.13]	1	0	0	0	0	0	1	0	0	0	0	0	0	0	21	0	0	0	0	0	3	1033	0	0	0	0	0	0	0	0	3	42	0	6	0	0
K00274 monoamine oxidase [EC:1.4.3.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00278 L-aspartate oxidase [EC:1.4.3.16]	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	2355	0	0	0	0	0	0	0	0	0	11	0	0	0	0
K00282 glycine dehydrogenase subunit 1 [EC:1.4.4.2]	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	4	7	1037	0	0	0	0	0	0	0	0	1	2	0	9	0	0
K00283 glycine dehydrogenase subunit 2 [EC:1.4.4.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1323	0	0	0	0	0	0	0	0	6	10	0	7	0	0
K00286 pyrroline-5-carboxylate reductase [EC:1.5.1.2]	0	0	0	0	0	0	3	0	0	0	0	0	0	0	21	4	229	35	0	0	0	442	0	0	0	0	0	0	0	0	4	10	0	3	0	0
K00287 dihydrofolate reductase [EC:1.5.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	138	21	0	0	0	46	0	0	0	0	0	0	0	0	3	0	0	0	0	0
K00290 saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	0
K00297 methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	618	0	1	0	0	0	0	0	0	0	56	0	11	0	0
K00313 electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0
K00330 NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
K00334 NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00335 NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	169	0	0	0	0	0	0	10	4	0	0	0	0
K00336 NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	4	0	0
K00337 NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
K00338 NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
K00339 NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
K00340 NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K00341 NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
K00342 NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
K00343 NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
K00344 NADPH:quinone reductase [EC:1.6.5.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00346 Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00362 nitrite reductase (NADH) large subunit [EC:1.7.1.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
K00364 GMP reductase [EC:1.7.1.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00374 nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00375 GntR family transcriptional regulator / MocR family aminotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	1	0	0	0	0	0	0	0	300	0	0	7	0	0
K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	20	51	0	1	0	791	0	70	0	0	0	0	0	0	177	3	0	2	0	0
K00383 glutathione reductase (NADPH) [EC:1.8.1.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	30	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00384 thioredoxin reductase (NADPH) [EC:1.8.1.9]	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	128	65	0	0	0	1695	0	0	0	0	0	0	0	0	52	21	0	10	2	0
K00390 phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
K00425 cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
K00426 cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
K00432 glutathione peroxidase [EC:1.11.1.9]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00433 non-heme chloroperoxidase [EC:1.11.1.10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
